using monthly DB: data/smartfarm_2026_05.sqlite3
logging MQTT messages from 127.0.0.1:1883 into data/smartfarm_YYYY_MM.sqlite3
stored sf/gh1/actuators/state -> actuator_history
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/cmd -> actuator_cmd
stored sf/gh1/actuators/state -> actuator_history
stored sf/gh1/actuators/state -> actuator_history
stored sf/gh1/actuators/cmd -> actuator_cmd
stored sf/gh1/actuators/state -> actuator_history
stored sf/gh1/actuators/state -> actuator_history
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/heartbeat -> heartbeat
stored sf/gh1/actuators/cmd -> actuator_cmd
